"id","dq_code","dq_name","dq_level","dq_parent"
"1","110000","北京市","1","北京市"
"2","110000","北京","1","北京市"
"3","110100","市辖区","2","北京市"
"4","110101","东城区","3","北京市"
"5","110102","西城区","3","北京市"
"6","110105","朝阳区","3","北京市"
"7","110106","丰台区","3","北京市"
"8","110107","石景山区","3","北京市"
"9","110108","海淀区","3","北京市"
"10","110109","门头沟区","3","北京市"
"11","110111","房山区","3","北京市"
"12","110112","通州区","3","北京市"
"13","110113","顺义区","3","北京市"
"14","110114","昌平区","3","北京市"
"15","110115","大兴区","3","北京市"
"16","110116","怀柔区","3","北京市"
"17","110117","平谷区","3","北京市"
"18","110228","密云县","3","北京市"
"19","110229","延庆县","3","北京市"
"20","120000","天津市","1","天津市"
"21","120000","天津","1","天津市"
"22","120100","市辖区","2","天津市"
"23","120101","和平区","3","天津市"
"24","120102","河东区","3","天津市"
"25","120103","河西区","3","天津市"
"26","120104","南开区","3","天津市"
"27","120105","河北区","3","天津市"
"28","120106","红桥区","3","天津市"
"29","120110","东丽区","3","天津市"
"30","120111","西青区","3","天津市"
"31","120112","津南区","3","天津市"
"32","120113","北辰区","3","天津市"
"33","120114","武清区","3","天津市"
"34","120115","宝坻区","3","天津市"
"35","120116","滨海新区","3","天津市"
"36","120221","宁河县","3","天津市"
"37","120223","静海县","3","天津市"
"38","120225","蓟县","3","天津市"
"39","130000","河北省","1","河北省"
"40","130100","石家庄市","2","河北省"
"41","130100","石家庄","2","河北省"
"42","130101","市辖区","3","河北省"
"43","130102","长安区","3","河北省"
"44","130104","桥西区","3","河北省"
"45","130105","新华区","3","河北省"
"46","130107","井陉矿区","3","河北省"
"47","130108","裕华区","3","河北省"
"48","130109","藁城区","3","河北省"
"49","130110","鹿泉区","3","河北省"
"50","130111","栾城区","3","河北省"
"51","130121","井陉县","3","河北省"
"52","130123","正定县","3","河北省"
"53","130125","行唐县","3","河北省"
"54","130126","灵寿县","3","河北省"
"55","130127","高邑县","3","河北省"
"56","130128","深泽县","3","河北省"
"57","130129","赞皇县","3","河北省"
"58","130130","无极县","3","河北省"
"59","130131","平山县","3","河北省"
"60","130132","元氏县","3","河北省"
"61","130133","赵县","3","河北省"
"62","130181","辛集市","3","河北省"
"63","130181","辛集","3","河北省"
"64","130183","晋州市","3","河北省"
"65","130183","晋州","3","河北省"
"66","130184","新乐市","3","河北省"
"67","130184","新乐","3","河北省"
"68","130200","唐山市","2","河北省"
"69","130200","唐山","2","河北省"
"70","130201","市辖区","3","河北省"
"71","130202","路南区","3","河北省"
"72","130203","路北区","3","河北省"
"73","130204","古冶区","3","河北省"
"74","130205","开平区","3","河北省"
"75","130207","丰南区","3","河北省"
"76","130208","丰润区","3","河北省"
"77","130209","曹妃甸区","3","河北省"
"78","130223","滦县","3","河北省"
"79","130224","滦南县","3","河北省"
"80","130225","乐亭县","3","河北省"
"81","130227","迁西县","3","河北省"
"82","130229","玉田县","3","河北省"
"83","130281","遵化市","3","河北省"
"84","130281","遵化","3","河北省"
"85","130283","迁安市","3","河北省"
"86","130283","迁安","3","河北省"
"87","130300","秦皇岛市","2","河北省"
"88","130300","秦皇岛","2","河北省"
"89","130301","市辖区","3","河北省"
"90","130302","海港区","3","河北省"
"91","130303","山海关区","3","河北省"
"92","130304","北戴河区","3","河北省"
"93","130321","青龙满族自治县","3","河北省"
"94","130322","昌黎县","3","河北省"
"95","130323","抚宁县","3","河北省"
"96","130324","卢龙县","3","河北省"
"97","130400","邯郸市","2","河北省"
"98","130400","邯郸","2","河北省"
"99","130401","市辖区","3","河北省"
"100","130402","邯山区","3","河北省"
"101","130403","丛台区","3","河北省"
"102","130404","复兴区","3","河北省"
"103","130406","峰峰矿区","3","河北省"
"104","130421","邯郸县","3","河北省"
"105","130423","临漳县","3","河北省"
"106","130424","成安县","3","河北省"
"107","130425","大名县","3","河北省"
"108","130426","涉县","3","河北省"
"109","130427","磁县","3","河北省"
"110","130428","肥乡县","3","河北省"
"111","130429","永年县","3","河北省"
"112","130430","邱县","3","河北省"
"113","130431","鸡泽县","3","河北省"
"114","130432","广平县","3","河北省"
"115","130433","馆陶县","3","河北省"
"116","130434","魏县","3","河北省"
"117","130435","曲周县","3","河北省"
"118","130481","武安市","3","河北省"
"119","130481","武安","3","河北省"
"120","130500","邢台市","2","河北省"
"121","130500","邢台","2","河北省"
"122","130501","市辖区","3","河北省"
"123","130502","桥东区","3","河北省"
"124","130503","桥西区","3","河北省"
"125","130521","邢台县","3","河北省"
"126","130522","临城县","3","河北省"
"127","130523","内丘县","3","河北省"
"128","130524","柏乡县","3","河北省"
"129","130525","隆尧县","3","河北省"
"130","130526","任县","3","河北省"
"131","130527","南和县","3","河北省"
"132","130528","宁晋县","3","河北省"
"133","130529","巨鹿县","3","河北省"
"134","130530","新河县","3","河北省"
"135","130531","广宗县","3","河北省"
"136","130532","平乡县","3","河北省"
"137","130533","威县","3","河北省"
"138","130534","清河县","3","河北省"
"139","130535","临西县","3","河北省"
"140","130581","南宫市","3","河北省"
"141","130581","南宫","3","河北省"
"142","130582","沙河市","3","河北省"
"143","130582","沙河","3","河北省"
"144","130600","保定市","2","河北省"
"145","130600","保定","2","河北省"
"146","130601","市辖区","3","河北省"
"147","130602","新市区","3","河北省"
"148","130603","北市区","3","河北省"
"149","130604","南市区","3","河北省"
"150","130621","满城县","3","河北省"
"151","130622","清苑县","3","河北省"
"152","130623","涞水县","3","河北省"
"153","130624","阜平县","3","河北省"
"154","130625","徐水县","3","河北省"
"155","130626","定兴县","3","河北省"
"156","130627","唐县","3","河北省"
"157","130628","高阳县","3","河北省"
"158","130629","容城县","3","河北省"
"159","130630","涞源县","3","河北省"
"160","130631","望都县","3","河北省"
"161","130632","安新县","3","河北省"
"162","130633","易县","3","河北省"
